Source,Target,Weight
APAM,AQNA,0.761
APAM,AQNB,0.833
APAM,ARD,0.813
APAM,ARDC,0.838
APAM,ARL,0.872
APAM,ASAQ,0.623
APAM,ASPN,0.751
APAM,ASR,0.59
APAM,ATEN,0.592
APAM,ATI,0.734
APAM,ATO,0.862
APAM,AVB,0.709
APAM,AVK,0.643
APD,APH,0.718
APD,ARCH,0.962
APD,ASAQ,0.608
APD,ASR,0.911
APD,ATI,0.753
APD,ATMR,0.684
APD,ATO,0.61
APD,ATUS,0.625
APG,APO,0.778
APG,APTS,0.806
APG,AQN,0.601
APG,ARD,0.74
APG,ASAQ,0.894
APG,ASGI,0.654
APG,ASPN,0.829
APG,ATGE,0.683
APG,ATH,0.752
APG,ATUS,0.646
APH,APO,0.865
APH,AQN,0.776
APH,AQNA,0.644
APH,ARCH,0.654
APH,ARCO,0.788
APH,ARE,0.687
APH,ARES,0.887
APH,ASAN,0.764
APH,ASAQ,0.847
APH,ASGI,0.729
APH,ASPN,0.829
APH,ASR,0.8
APH,ASX,0.829
APH,ATEN,0.853
APH,ATGE,0.853
APH,ATH,0.86
APH,ATO,0.834
APH,AU,0.767
APH,AUY,0.761
APH,AVAN,0.879
APH,AVB,0.724
APH,AVK,0.66
APLE,APRN,0.799
APLE,APTV,0.865
APLE,APT,0.729
APLE,AQUA,0.873
APLE,AR,0.877
APLE,ARC,0.988
APLE,ARGO,0.924
APLE,ARI,0.907
APLE,ARLO,0.868
APLE,ARMK,0.934
APLE,ARNC,0.912
APLE,AROC,0.95
APLE,ARR,0.904
APLE,ARW,0.785
APLE,ASA,0.766
APLE,ASAI,0.774
APLE,ASB,0.954
APLE,ASC,0.645
APLE,ASGN,0.627
APLE,ASH,0.73
APLE,ASIX,0.876
APLE,ASPL,0.715
APLE,ATCO,0.917
APLE,ATHM,0.816
APLE,ATKR,0.72
APLE,ATUS,0.724
APLE,AVAL,0.654
APLE,AVD,0.692
APO,AQN,0.669
APO,ARCO,0.889
APO,ARES,0.901
APO,ASAN,0.78
APO,ASAQ,0.833
APO,ASGI,0.935
APO,ASPN,0.764
APO,ASX,0.874
APO,ATEN,0.713
APO,ATGE,0.989
APO,ATH,0.997
APO,AU,0.625
APO,AUY,0.826
APO,AVAN,0.904
APRN,APSG,0.652
APRN,APTV,0.644
APRN,APT,0.919
APRN,AQUA,0.983
APRN,AR,0.935
APRN,ARC,0.793
APRN,ARGO,0.88
APRN,ARI,0.956
APRN,ARLO,0.971
APRN,ARMK,0.949
APRN,ARNC,0.71
APRN,AROC,0.827
APRN,ARR,0.845
APRN,ASAI,0.827
APRN,ASB,0.869
APRN,ASC,0.804
APRN,ASGN,0.711
APRN,ASIX,0.8
APRN,ASPL,0.766
APRN,ATC,0.766
APRN,ATCO,0.896
APRN,ATHM,0.825
APRN,ATKR,0.683
APRN,AVD,0.909
APSG,ASAI,0.711
APSG,ATA,0.919
APSG,ATC,0.911
APSG,ATHM,0.629
APTS,ARD,0.777
APTS,ARDC,0.653
APTV,APT,0.774
APTV,AQUA,0.734
APTV,AR,0.611
APTV,ARC,0.858
APTV,ARGO,0.677
APTV,ARI,0.759
APTV,ARLO,0.73
APTV,ARMK,0.781
APTV,ARNC,0.599
APTV,AROC,0.803
APTV,ARR,0.91
APTV,ASA,0.886
APTV,ASB,0.726
APTV,ASC,0.743
APTV,ASPL,0.899
APTV,ATCO,0.91
APTV,ATUS,0.592
APTV,AVAL,0.749
APTV,AVD,0.594
APT,AQUA,0.926
APT,AR,0.785
APT,ARC,0.709
APT,ARGO,0.75
APT,ARI,0.899
APT,ARLO,0.922
APT,ARMK,0.857
APT,AROC,0.779
APT,ARR,0.91
APT,ASB,0.749
APT,ASC,0.865
APT,ASIX,0.6
APT,ASPL,0.934
APT,ATCO,0.916
APT,AVD,0.913
AQN,AQNA,0.981
AQN,AQNB,0.874
AQN,ARD,0.831
AQN,ARDC,0.844
AQN,ARE,0.842
AQN,ARES,0.793
AQN,ARL,0.662
AQN,ASAN,0.683
AQN,ASAQ,0.795
AQN,ASPN,0.906
AQN,ASX,0.673
AQN,ATEN,0.939
AQN,ATGE,0.62
AQN,ATH,0.618
AQN,ATO,0.927
AQN,ATTO,0.759
AQN,AU,0.854
AQN,AVB,0.914
AQN,AVK,0.939
AQNA,AQNB,0.908
AQNA,ARD,0.85
AQNA,ARDC,0.905
AQNA,ARE,0.842
AQNA,ARES,0.706
AQNA,ARL,0.712
AQNA,ASAN,0.621
AQNA,ASAQ,0.689
AQNA,ASPN,0.834
AQNA,ATEN,0.898
AQNA,ATO,0.882
AQNA,ATTO,0.823
AQNA,AU,0.83
AQNA,AVB,0.912
AQNA,AVK,0.957
AQNB,ARD,0.673
AQNB,ARDC,0.806
AQNB,ARE,0.861
AQNB,ARL,0.928
AQNB,ASG,0.786
AQNB,ASPN,0.66
AQNB,ATEN,0.851
AQNB,ATO,0.904
AQNB,ATTO,0.843
AQNB,AU,0.827
AQNB,AVB,0.96
AQNB,AVK,0.928
AQUA,AR,0.959
AQUA,ARC,0.85
AQUA,ARGO,0.935
AQUA,ARI,0.993
AQUA,ARLO,0.997
AQUA,ARMK,0.964
AQUA,ARNC,0.757
AQUA,AROC,0.913
AQUA,ARR,0.921
AQUA,ASAI,0.804
AQUA,ASB,0.93
AQUA,ASC,0.764
AQUA,ASGN,0.744
AQUA,ASIX,0.852
AQUA,ASPL,0.795
AQUA,ATC,0.672
AQUA,ATCO,0.929
AQUA,ATHM,0.824
AQUA,ATKR,0.731
AQUA,AVD,0.93
AR,ARC,0.843
AR,ARGO,0.985
AR,ARI,0.969
AR,ARLO,0.962
AR,ARMK,0.933
AR,ARNC,0.862
AR,AROC,0.926
AR,ARR,0.839
AR,ARW,0.717
AR,ASAI,0.899
AR,ASB,0.973
AR,ASC,0.587
AR,ASGN,0.88
AR,ASH,0.73
AR,ASIX,0.959
AR,ASPL,0.603
AR,ATC,0.692
AR,ATCO,0.831
AR,ATHM,0.93
AR,ATKR,0.889
AR,AVD,0.879
ARC,ARGO,0.879
ARC,ARI,0.871
ARC,ARLO,0.832
ARC,ARMK,0.943
ARC,ARNC,0.917
ARC,AROC,0.894
ARC,ARR,0.859
ARC,ARW,0.742
ARC,ASA,0.826
ARC,ASAI,0.794
ARC,ASB,0.915
ARC,ASC,0.705
ARC,ASH,0.685
ARC,ASIX,0.833
ARC,ASPL,0.717
ARC,ATC,0.632
ARC,ATCO,0.923
ARC,ATHM,0.819
ARC,ATKR,0.654
ARC,ATUS,0.676
ARC,AVAL,0.751
ARC,AVD,0.625
ARCH,ARCO,0.596
ARCH,ARW,0.698
ARCH,ASAQ,0.645
ARCH,ASH,0.655
ARCH,ASR,0.771
ARCH,ATI,0.668
ARCH,ATMR,0.714
ARCH,ATUS,0.808
ARCO,ARES,0.743
ARCO,ASA,0.697
ARCO,ASAN,0.653
ARCO,ASAQ,0.635
ARCO,ASGI,0.97
ARCO,ASX,0.775
ARCO,ATGE,0.913
ARCO,ATH,0.921
ARCO,AUY,0.901
ARCO,AVAL,0.661
ARCO,AVAN,0.96
ARD,ARDC,0.955
ARD,ASAQ,0.769
ARD,ASPN,0.865
ARD,ATEN,0.589
ARD,ATO,0.723
ARD,AVB,0.596
ARD,AVK,0.661
ARDC,ARL,0.702
ARDC,ASAQ,0.601
ARDC,ASPN,0.757
ARDC,ATEN,0.632
ARDC,ATO,0.737
ARDC,ATTO,0.625
ARDC,AVB,0.704
ARDC,AVK,0.768
ARE,ARES,0.836
ARE,ARL,0.655
ARE,ASAN,0.871
ARE,ASG,0.772
ARE,ASX,0.796
ARE,ATEN,0.953
ARE,ATO,0.794
ARE,ATTO,0.94
ARE,AU,0.992
ARE,AVB,0.958
ARE,AVK,0.96
ARES,ASAN,0.962
ARES,ASAQ,0.693
ARES,ASGI,0.77
ARES,ASPN,0.709
ARES,ASX,0.982
ARES,ATEN,0.911
ARES,ATGE,0.924
ARES,ATH,0.888
ARES,ATO,0.705
ARES,ATTO,0.655
ARES,AU,0.894
ARES,AUY,0.861
ARES,AVAN,0.878
ARES,AVB,0.76
ARES,AVK,0.78
ARGD,ASG,0.66
ARGD,ATA,0.595
ARGD,ATTO,0.634
ARGO,ARI,0.964
ARGO,ARLO,0.944
ARGO,ARMK,0.918
ARGO,ARNC,0.892
ARGO,AROC,0.971
ARGO,ARR,0.873
ARGO,ARW,0.799
ARGO,ASAI,0.857
ARGO,ASB,0.996
ARGO,ASGN,0.871
ARGO,ASH,0.794
ARGO,ASIX,0.977
ARGO,ASPL,0.601
ARGO,ATC,0.592
ARGO,ATCO,0.834
ARGO,ATHM,0.905
ARGO,ATKR,0.902
ARGO,ATUS,0.6
ARGO,AVD,0.848
ARI,ARLO,0.996
ARI,ARMK,0.957
ARI,ARNC,0.791
ARI,AROC,0.955
ARI,ARR,0.942
ARI,ARW,0.622
ARI,ASAI,0.796
ARI,ASB,0.961
ARI,ASC,0.706
ARI,ASGN,0.776
ARI,ASH,0.606
ARI,ASIX,0.889
ARI,ASPL,0.774
ARI,ATC,0.613
ARI,ATCO,0.924
ARI,ATHM,0.83
ARI,ATKR,0.775
ARI,AVD,0.925
ARL,ASG,0.818
ARL,ASR,0.593
ARL,ATEN,0.622
ARL,ATI,0.64
ARL,ATO,0.798
ARL,ATTO,0.657
ARL,AU,0.602
ARL,AVB,0.812
ARL,AVK,0.725
ARLO,ARMK,0.946
ARLO,ARNC,0.745
ARLO,AROC,0.929
ARLO,ARR,0.931
ARLO,ASAI,0.781
ARLO,ASB,0.936
ARLO,ASC,0.724
ARLO,ASGN,0.772
ARLO,ASIX,0.861
ARLO,ASPL,0.784
ARLO,ATC,0.621
ARLO,ATCO,0.914
ARLO,ATHM,0.81
ARLO,ATKR,0.752
ARLO,AVD,0.949
ARMK,ARNC,0.856
ARMK,AROC,0.892
ARMK,ARR,0.886
ARMK,ARW,0.61
ARMK,ASA,0.686
ARMK,ASAI,0.864
ARMK,ASB,0.932
ARMK,ASC,0.81
ARMK,ASGN,0.652
ARMK,ASH,0.586
ARMK,ASIX,0.853
ARMK,ASPL,0.78
ARMK,ATC,0.762
ARMK,ATCO,0.958
ARMK,ATHM,0.871
ARMK,ATKR,0.694
ARMK,AVAL,0.65
ARMK,AVD,0.8
ARNC,AROC,0.837
ARNC,ARR,0.675
ARNC,ARW,0.903
ARNC,ASA,0.597
ARNC,ASAI,0.911
ARNC,ASB,0.912
ARNC,ASGN,0.714
ARNC,ASH,0.891
ARNC,ASIX,0.93
ARNC,ATC,0.682
ARNC,ATCO,0.73
ARNC,ATHM,0.939
ARNC,ATKR,0.836
ARNC,ATMR,0.756
ARNC,ATUS,0.721
AROC,ARR,0.944
AROC,ARW,0.775
AROC,ASAI,0.727
AROC,ASB,0.979
AROC,ASGN,0.777
AROC,ASH,0.738
AROC,ASIX,0.917
AROC,ASPL,0.695
AROC,ATCO,0.871
AROC,ATHM,0.79
AROC,ATKR,0.815
AROC,ATUS,0.682
AROC,AVD,0.839
ARR,ASA,0.662
ARR,ASB,0.888
ARR,ASC,0.72
ARR,ASGN,0.59
ARR,ASIX,0.753
ARR,ASPL,0.888
ARR,ATCO,0.945
ARR,ATHM,0.63
ARR,ATKR,0.598
ARR,AVD,0.867
ARW,ASAI,0.715
ARW,ASB,0.813
ARW,ASGN,0.737
ARW,ASH,0.989
ARW,ASIX,0.88
ARW,ATHM,0.785
ARW,ATKR,0.865
ARW,ATMR,0.846
ARW,ATR,0.616
ARW,ATUS,0.886
ASA,ASC,0.737
ASA,ASGI,0.719
ASA,ASPL,0.738
ASA,ATCO,0.792
ASA,AVAL,0.958
ASAI,ASB,0.851
ASAI,ASGN,0.775
ASAI,ASH,0.753
ASAI,ASIX,0.897
ASAI,ATC,0.887
ASAI,ATCO,0.685
ASAI,ATHM,0.992
ASAI,ATKR,0.835
ASAI,ATMR,0.697
ASAI,AVD,0.618
ASAN,ASGI,0.682
ASAN,ASX,0.983
ASAN,ATEN,0.865
ASAN,ATGE,0.838
ASAN,ATH,0.773
ASAN,ATO,0.584
ASAN,ATTO,0.733
ASAN,AU,0.911
ASAN,AUY,0.876
ASAN,AVAN,0.822
ASAN,AVB,0.737
ASAN,AVK,0.762
ASAQ,ASGI,0.649
ASAQ,ASPN,0.972
ASAQ,ATEN,0.687
ASAQ,ATGE,0.751
ASAQ,ATH,0.808
ASAQ,ATO,0.77
ASAQ,ATUS,0.595
ASAQ,AVAN,0.637
ASB,ASGN,0.828
ASB,ASH,0.797
ASB,ASIX,0.969
ASB,ASPL,0.628
ASB,ATC,0.59
ASB,ATCO,0.86
ASB,ATHM,0.898
ASB,ATKR,0.876
ASB,ATUS,0.642
ASB,AVD,0.819
ASC,ASPL,0.904
ASC,ATC,0.678
ASC,ATCO,0.881
ASC,AVAL,0.787
ASC,AVD,0.611
ASG,ASR,0.659
ASG,ATEN,0.645
ASG,ATO,0.639
ASG,ATTO,0.725
ASG,AU,0.734
ASG,AVB,0.79
ASG,AVK,0.675
ASGI,ASX,0.799
ASGI,ATGE,0.952
ASGI,ATH,0.957
ASGI,AUY,0.881
ASGI,AVAL,0.654
ASGI,AVAN,0.923
ASGN,ASH,0.795
ASGN,ASIX,0.912
ASGN,ATHM,0.829
ASGN,ATKR,0.974
ASGN,ATMR,0.618
ASGN,ATR,0.748
ASGN,AVA,0.813
ASGN,AVD,0.778
ASH,ASIX,0.893
ASH,ATHM,0.817
ASH,ATI,0.613
ASH,ATKR,0.909
ASH,ATMR,0.894
ASH,ATR,0.716
ASH,ATUS,0.813
ASIX,ATC,0.605
ASIX,ATCO,0.718
ASIX,ATHM,0.945
ASIX,ATKR,0.963
ASIX,ATMR,0.686
ASIX,ATUS,0.639
ASIX,AVA,0.583
ASIX,AVD,0.749
ASPL,ATCO,0.918
ASPL,AVAL,0.667
ASPL,AVD,0.729
ASPN,ATEN,0.785
ASPN,ATGE,0.68
ASPN,ATH,0.725
ASPN,ATO,0.871
ASPN,AU,0.624
ASPN,AVB,0.701
ASPN,AVK,0.707
ASR,ATEN,0.62
ASR,ATI,0.68
ASR,ATO,0.771
ASR,AVAN,0.592
ASR,AVB,0.628
ASX,ATEN,0.841
ASX,ATGE,0.921
ASX,ATH,0.872
ASX,ATTO,0.616
ASX,AU,0.857
ASX,AUY,0.927
ASX,AVAN,0.904
ASX,AVB,0.675
ASX,AVK,0.695
ATA,ATC,0.821
ATC,ATCO,0.609
ATC,ATHM,0.823
ATCO,ATHM,0.698
ATCO,AVAL,0.726
ATCO,AVD,0.784
ATEN,ATGE,0.711
ATEN,ATH,0.679
ATEN,ATO,0.902
ATEN,ATTO,0.825
ATEN,AU,0.974
ATEN,AUY,0.615
ATEN,AVAN,0.66
ATEN,AVB,0.958
ATEN,AVK,0.952
ATGE,ATH,0.993
ATGE,AU,0.654
ATGE,AUY,0.896
ATGE,AVAN,0.942
ATH,AU,0.596
ATH,AUY,0.852
ATH,AVAN,0.926
ATHM,ATKR,0.891
ATHM,ATMR,0.723
ATHM,AVD,0.655
ATI,ATMR,0.793
ATI,ATR,0.869
ATKR,ATMR,0.75
ATKR,ATR,0.752
ATKR,AVA,0.737
ATKR,AVD,0.692
ATMR,ATR,0.795
ATMR,ATUS,0.603
ATO,ATTO,0.643
ATO,AU,0.812
ATO,AVB,0.921
ATO,AVK,0.859
ATR,AVA,0.748
ATTO,AU,0.893
ATTO,AVB,0.884
ATTO,AVK,0.934
AU,AUY,0.644
AU,AVAN,0.632
AU,AVB,0.948
AU,AVK,0.944
AUY,AVAN,0.965
AVB,AVK,0.973
ADS,ADT,0.837
ADS,AEG,0.751
ADS,AEL,0.683
ADS,AEO,0.665
ADS,AER,0.941
ADS,AES,0.978
ADS,AEVA,0.686
ADS,AFG,0.733
ADS,AFL,0.763
ADS,AGCO,0.793
ADS,AGD,0.664
ADS,AGM,0.88
ADS,AGO,0.875
ADS,AGRO,0.641
ADS,AGS,0.755
ADS,AHC,0.858
ADS,AHT,0.643
ADS,AI,0.711
ADS,AIG,0.934
ADS,AIR,0.725
ADS,AIT,0.883
ADS,AIW,0.679
ADS,AJAX,0.747
ADS,AJRD,0.943
ADS,AJX,0.874
ADS,AKR,0.805
ADS,AL,0.951
ADS,ALB,0.832
ADS,ALE,0.884
ADS,ALEX,0.971
ADS,ALG,0.836
ADS,ALK,0.734
ADS,ALLE,0.668
ADS,ALLY,0.756
ADS,ALV,0.755
ADS,AM,0.946
ADS,AMBC,0.78
ADS,AMN,0.612
ADS,AMP,0.88
ADS,AMR,0.765
ADS,AMRX,0.748
ADS,AMWL,0.635
ADS,ANF,0.626
ADS,AONE,0.746
ADS,AP,0.745
ADS,APG,0.6
ADS,APLE,0.817
ADS,APTS,0.594
ADS,APTV,0.695
ADS,AQUA,0.632
ADS,AR,0.7
ADS,ARC,0.726
ADS,ARGO,0.811
ADS,ARI,0.721
ADS,ARLO,0.671
ADS,ARMK,0.611
ADS,ARNC,0.72
ADS,AROC,0.892
ADS,ARR,0.78
ADS,ARW,0.85
ADS,ASB,0.826
ADS,ASGN,0.678
ADS,ASH,0.795
ADS,ASIX,0.795
ADS,ATCO,0.612
ADS,ATKR,0.747
ADS,ATUS,0.885
ADS,AVA,0.642
ADS,AVD,0.598
ADT,AEG,0.936
ADT,AEL,0.961
ADT,AEO,0.895
ADT,AER,0.935
ADT,AES,0.849
ADT,AESC,0.893
ADT,AEVA,0.608
ADT,AFG,0.959
ADT,AFT,0.795
ADT,AG,0.595
ADT,AGCO,0.656
ADT,AGD,0.764
ADT,AGM,0.867
ADT,AGO,0.97
ADT,AGRO,0.801
ADT,AGS,0.953
ADT,AGX,0.913
ADT,AHC,0.825
ADT,AHT,0.953
ADT,AI,0.93
ADT,AIF,0.612
ADT,AIG,0.946
ADT,AIN,0.786
ADT,AIR,0.977
ADT,AIT,0.972
ADT,AIW,0.732
ADT,AJAX,0.948
ADT,AJRD,0.947
ADT,AJX,0.666
ADT,AJXA,0.643
ADT,AKR,0.826
ADT,AL,0.924
ADT,ALE,0.976
ADT,ALEX,0.863
ADT,ALG,0.995
ADT,ALK,0.837
ADT,ALV,0.935
ADT,AM,0.965
ADT,AMBC,0.987
ADT,AMC,0.741
ADT,AMP,0.711
ADT,AMPY,0.596
ADT,AMR,0.872
ADT,AMRX,0.789
ADT,AMWL,0.922
ADT,ANF,0.918
ADT,APLE,0.935
ADT,APRN,0.872
ADT,APTV,0.714
ADT,APT,0.765
ADT,AQUA,0.936
ADT,AR,0.975
ADT,ARC,0.886
ADT,ARGO,0.998
ADT,ARI,0.968
ADT,ARLO,0.947
ADT,ARMK,0.916
ADT,ARNC,0.88
ADT,AROC,0.985
ADT,ARR,0.898
ADT,ARW,0.794
ADT,ASAI,0.826
ADT,ASB,0.997
ADT,ASGN,0.851
ADT,ASH,0.781
ADT,ASIX,0.965
ADT,ASPL,0.632
ADT,ATCO,0.849
ADT,ATHM,0.878
ADT,ATKR,0.883
ADT,ATUS,0.622
ADT,AVD,0.854
ADX,AEFC,0.83
ADX,AEM,0.892
ADX,AGI,0.796
ADX,AIC,0.625
ADX,AIO,0.944
ADX,AIRC,0.723
ADX,ALC,0.676
ADX,ALL,0.691
ADX,ALTG,0.892
ADX,ALX,0.711
ADX,AME,0.709
ADX,AMK,0.628
ADX,AMT,0.68
ADX,AN,0.837
ADX,ANET,0.683
ADX,ANTM,0.869
ADX,APG,0.724
ADX,APH,0.879
ADX,APO,0.949
ADX,AQN,0.853
ADX,AQNA,0.768
ADX,ARCO,0.727
ADX,ARD,0.584
ADX,ARE,0.748
ADX,ARES,0.962
ADX,ASAN,0.864
ADX,ASAQ,0.832
ADX,ASGI,0.787
ADX,ASPN,0.839
ADX,ASX,0.909
ADX,ATEN,0.881
ADX,ATGE,0.935
ADX,ATH,0.926
ADX,ATO,0.726
ADX,AU,0.81
ADX,AUY,0.754
ADX,AVAN,0.819
ADX,AVB,0.715
ADX,AVK,0.763
AEB,AFB,0.817
AEB,AFGB,0.656
AEB,AFGD,0.707
AEB,AFGE,0.858
AEB,AOD,0.626
AEB,APSG,0.606
AEB,ARGD,0.694
AEB,ASG,0.687
AEB,ATA,0.66
AEE,AEFC,0.592
AEE,AFB,0.786
AEE,AFGC,0.991
AEE,AFGD,0.782
AEE,AFGE,0.685
AEE,AFI,0.637
AEE,AGR,0.936
AEE,AHH,0.599
AEE,AIRC,0.911
AEE,AIV,0.979
AEE,AIZ,0.68
AEE,AIZN,0.921
AEE,AJG,0.986
AEE,ALC,0.8
AEE,ALL,0.657
AEE,ALSN,0.752
AEE,AMCR,0.633
AEE,AME,0.832
AEE,AMG,0.92
AEE,AMH,0.981
AEE,AMT,0.773
AEE,AN,0.611
AEE,ANET,0.599
AEE,ANTM,0.731
AEE,APAM,0.88
AEE,APD,0.682
AEE,APH,0.664
AEE,AQN,0.723
AEE,AQNA,0.693
AEE,AQNB,0.879
AEE,ARDC,0.593
AEE,ARE,0.67
AEE,ARL,0.916
AEE,ASG,0.788
AEE,ASPN,0.644
AEE,ASR,0.855
AEE,ATEN,0.727
AEE,ATI,0.733
AEE,ATO,0.918
AEE,AU,0.667
AEE,AVB,0.835
AEE,AVK,0.705
AEFC,AFGC,0.652
AEFC,AIO,0.614
AEFC,AIRC,0.72
AEFC,AIV,0.681
AEFC,ALB,0.744
AEFC,ALL,0.956
AEFC,ALLE,0.752
AEFC,ALLY,0.747
AEFC,ALTG,0.708
AEFC,AMCR,0.837
AEFC,AME,0.749
AEFC,AMK,0.927
AEFC,AN,0.969
AEFC,ANTM,0.833
AEFC,AP,0.737
AEFC,APAM,0.698
AEFC,APD,0.591
AEFC,APG,0.867
AEFC,APH,0.84
AEFC,APO,0.795
AEFC,AQN,0.849
AEFC,AQNA,0.759
AEFC,ARCH,0.604
AEFC,ARD,0.823
AEFC,ARDC,0.681
AEFC,ARES,0.692
AEFC,ASAQ,0.993
AEFC,ASPN,0.992
AEFC,ATEN,0.73
AEFC,ATGE,0.709
AEFC,ATH,0.763
AEFC,ATO,0.824
AEFC,AVAN,0.588
