,Symbol,Name,Sector,Industry,market,CIK
50,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001427925
51,ACST,Acasti Pharma Inc. Class A Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001444192
52,ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,Capital Goods,Auto Manufacturing,nasdaq,0001820630
53,ACTCU,ArcLight Clean Transition Corp. Unit,Capital Goods,Auto Manufacturing,nasdaq,0001820630
54,ACTCW,ArcLight Clean Transition Corp. Warrant,Capital Goods,Auto Manufacturing,nasdaq,0001820630
55,ACTDU,ArcLight Clean Transition Corp. II Unit,Finance,Business Services,nasdaq,0001842279
56,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies,nasdaq,0000934549
57,ACVA,ACV Auctions Inc. Class A Common Stock,Miscellaneous,Business Services,nasdaq,0001637873
58,ADAG,Adagene Inc. American Depositary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001818838
59,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001621227
60,ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0000796343
61,ADER,26 Capital Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001822912
62,ADERU,26 Capital Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001822912
63,ADERW,26 Capital Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001822912
64,ADES,Advanced Emissions Solutions Inc. Common Stock,Basic Industries,Major Chemicals,nasdaq,0001515156
65,ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,nasdaq,0000006281
66,ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001513525
67,ADILW,Adial Pharmaceuticals Inc Warrant,Health Care,Major Pharmaceuticals,nasdaq,0001513525
68,ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001368514
69,ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0000887247
70,ADMS,Adamas Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001328143
71,ADN,Advent Technologies Holdings Inc. Class A Common Stock,Miscellaneous,Industrial Machinery/Components,nasdaq,0001744494
72,ADNWW,Advent Technologies Holdings Inc. Warrant,Miscellaneous,Industrial Machinery/Components,nasdaq,0001744494
73,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Finance,Business Services,nasdaq,0001824884
74,ADOCR,Edoc Acquisition Corp. Right,Finance,Business Services,nasdaq,0001824884
75,ADOCW,Edoc Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001824884
76,ADP,Automatic Data Processing Inc. Common Stock,Technology,EDP Services,nasdaq,0000008670
77,ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001478320
78,ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0000769397
79,ADTN,ADTRAN Inc. Common Stock,Public Utilities,Telecommunications Equipment,nasdaq,0000926282
80,ADTX,ADiTx Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001726711
81,ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services,nasdaq,0001468328
82,ADV,Advantage Solutions Inc. Class A Common Stock,Miscellaneous,Business Services,nasdaq,0001776661
83,ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001501756
84,ADVWW,Advantage Solutions Inc. Warrant,Miscellaneous,Business Services,nasdaq,0001776661
85,ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001574232
86,ADXS,Advaxis Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001100397
87,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,Finance,Business Services,nasdaq,0001827392
88,AEACU,Authentic Equity Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001827392
89,AEACW,Authentic Equity Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001827392
90,AEGN,Aegion Corp Common Stock,Basic Industries,Water Supply,nasdaq,0000353020
91,AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),Capital Goods,Building Materials,nasdaq,0001470683
92,AEHR,Aehr Test Systems Common Stock,Capital Goods,Electrical Products,nasdaq,0001040470
93,AEI,Alset EHome International Inc. Common Stock,Finance,Real Estate,nasdaq,0001750106
94,AEIS,Advanced Energy Industries Inc. Common Stock,Capital Goods,Industrial Machinery/Components,nasdaq,0000927003
95,AEMD,Aethlon Medical Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0000882291
96,AEP,American Electric Power Company Inc. Common Stock,Public Utilities,Electric Utilities: Central,nasdaq,0000004904
97,AEPPL,American Electric Power Company Inc. Corporate Unit,Public Utilities,Electric Utilities: Central,nasdaq,0000004904
98,AEPPZ,American Electric Power Company Inc. Corporate Units,Public Utilities,Electric Utilities: Central,nasdaq,0000004904
99,AERI,Aerie Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001337553
100,AESE,Allied Esports Entertainment Inc. Common Stock,Consumer Services,Services-Misc. Amusement & Recreation,nasdaq,0001708341
101,AEY,ADDvantage Technologies Group Inc. Common Stock,Consumer Services,Office Equipment/Supplies/Services,nasdaq,0000874292
102,AEYE,AudioEye Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001362190
103,AEZS,Aeterna Zentaris Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001113423
104,AFAQU,AF Acquisition Corp. Units,Finance,Business Services,nasdaq,0001841661
105,AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Savings Institutions,nasdaq,0001823406
106,AFCG,AFC Gamma Inc. Common Stock,Finance,Real Estate,nasdaq,0001822523
107,AFIB,Acutus Medical Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001522860
108,AFIN,American Finance Trust Inc. Class A Common Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001568162
109,AFINO,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001568162
110,AFINP,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001568162
111,AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,nasdaq,0001608390
112,AFRM,Affirm Holdings Inc. Class A Common Stock,Miscellaneous,Business Services,nasdaq,0001820953
113,AFYA,Afya Limited Class A Common Shares,Consumer Services,Other Consumer Services,nasdaq,0001771007
114,AGBA,AGBA Acquisition Limited Ordinary Share,Finance,Business Services,nasdaq,0001769624
115,AGBAR,AGBA Acquisition Limited Right,Finance,Business Services,nasdaq,0001769624
116,AGBAW,AGBA Acquisition Limited Warrant,Finance,Business Services,nasdaq,0001769624
117,AGC,Altimeter Growth Corp. Class A Ordinary Shares,Finance,Business Services,nasdaq,0001823340
118,AGCUU,Altimeter Growth Corp. Unit,Finance,Business Services,nasdaq,0001823340
119,A,Altimeter Growth Corp. Warrant,Finance,Business Services,nasdaq,0001090872
120,AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001098972
121,AGFS,AgroFresh Solutions Inc. Common Stock,Basic Industries,Agricultural Chemicals,nasdaq,0001592016
122,AGFY,Agrify Corporation Common Stock,Consumer Non-Durables,Farming/Seeds/Milling,nasdaq,0001800637
123,AGGRU,Agile Growth Corp. Units,Finance,Business Services,nasdaq,0001842329
124,AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001439222
125,AGLE,Aeglea BioTherapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001636282
126,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology,EDP Services,nasdaq,0001705402
127,AGNC,AGNC Investment Corp. Common Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001423689
128,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001423689
129,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001423689
130,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001423689
131,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Consumer Services,Real Estate Investment Trusts,nasdaq,0001423689
132,AGRX,Agile Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001261249
133,AGTC,Applied Genetic Technologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001273636
134,AGYS,Agilysys Inc. Common Stock,Technology,EDP Services,nasdaq,0000078749
135,AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001818382
136,AHACU,Alpha Healthcare Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001818382
137,AHACW,Alpha Healthcare Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001818382
138,AHCO,AdaptHealth Corp. Class A Common Stock,Health Care,Medical/Nursing Services,nasdaq,0001725255
139,AHPI,Allied Healthcare Products Inc. Common Stock,Health Care,Industrial Specialties,nasdaq,0000874710
140,AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,Health Care,Medical Specialities,nasdaq,0001757143
141,AIHS,Senmiao Technology Limited Common Stock,Finance,Finance: Consumer Services,nasdaq,0001711012
142,AIKI,AIkido Pharma Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,nasdaq,0000012239
143,AIMC,Altra Industrial Motion Corp. Common Stock,Capital Goods,Industrial Machinery/Components,nasdaq,0001374535
144,AINV,Apollo Investment Corporation Common Stock,,,nasdaq,0001278752
145,AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,nasdaq,0001272842
146,AIRT,Air T Inc. Common Stock,Transportation,Air Freight/Delivery Services,nasdaq,0000353184
147,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Transportation,Air Freight/Delivery Services,nasdaq,0000353184
148,AIRTW,Air T Inc. Air T Funding Warrants to Purchase Alpha Income Trust Preferred Expiring 08/30/2021,Transportation,Air Freight/Delivery Services,nasdaq,0000353184
149,AKAM,Akamai Technologies Inc. Common Stock,Miscellaneous,Business Services,nasdaq,0001086222
150,AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001517022
151,AKER,Akers Biosciences Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,nasdaq,0001321834
152,AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,Finance,Business Services,nasdaq,0001826574
153,AKICU,Sports Ventures Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001826574
154,AKICW,Sports Ventures Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001826574
155,AKRO,Akero Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001744659
156,AKTS,Akoustis Technologies Inc. Common Stock,Public Utilities,Telecommunications Equipment,nasdaq,0001584754
157,AKTX,Akari Therapeutics plc ADR (0.01 USD),Health Care,Major Pharmaceuticals,nasdaq,0001541157
158,AKU,Akumin Inc. Common Shares,Health Care,Medical Specialities,nasdaq,0001776197
159,AKUS,Akouos Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001722271
160,ALAC,Alberton Acquisition Corporation Ordinary Shares,Basic Industries,Engineering & Construction,nasdaq,0001748621
161,ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,Basic Industries,Engineering & Construction,nasdaq,0001748621
162,ALACW,Alberton Acquisition Corporation Warrant,Basic Industries,Engineering & Construction,nasdaq,0001748621
163,ALBO,Albireo Pharma Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001322505
164,ALCO,Alico Inc. Common Stock,Consumer Non-Durables,Farming/Seeds/Milling,nasdaq,0000003545
165,ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001341235
166,ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001653087
167,ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors,nasdaq,0000866291
168,ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties,nasdaq,0001097149
169,ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001799448
170,ALGT,Allegiant Travel Company Common Stock,Transportation,Air Freight/Delivery Services,nasdaq,0001362468
171,ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities,nasdaq,0001832466
172,ALIM,Alimera Sciences Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001267602
173,ALJJ,ALJ Regional Holdings Inc. Common Stock,Miscellaneous,Business Services,nasdaq,0001438731
174,ALKS,Alkermes plc Ordinary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001520262
175,ALLK,Allakos Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001564824
176,ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001737287
177,ALLT,Allot Ltd. Ordinary Shares,Technology,Computer Communications Equipment,nasdaq,0001365767
178,ALNA,Allena Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001624658
179,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001178670
180,ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment,nasdaq,0000008146
181,ALPN,Alpine Immune Sciences Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001626199
182,ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001459200
183,ALRN,Aileron Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001420565
184,ALRS,Alerus Financial Corporation Common Stock,Finance,Major Banks,nasdaq,0000903419
185,ALSK,Alaska Communications Systems Group Inc. Common Stock,Public Utilities,Telecommunications Equipment,nasdaq,0001089511
186,ALT,Altimmune Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001326190
187,ALTA,Altabancorp Common Stock,Finance,Major Banks,nasdaq,0001636286
188,ALTM,Altus Midstream Company Class A Common Stock,Public Utilities,Natural Gas Distribution,nasdaq,0001692787
189,ALTO,Alto Ingredients Inc. Common Stock,Basic Industries,Major Chemicals,nasdaq,0000778164
190,ALTR,Altair Engineering Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001701732
191,ALTU,Altitude Acquisition Corp. Class A Common Stock,Finance,Business Services,nasdaq,0001822366
192,ALTUU,Altitude Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001822366
193,ALTUW,Altitude Acquisition Corp. Warrant,Finance,Business Services,nasdaq,0001822366
194,ALVR,AlloVir Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001754068
195,ALXN,Alexion Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0000899866
196,ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001810182
197,ALYA,Alithya Group inc. Class A Subordinate Voting Shares,Technology,Computer Software: Programming Data Processing,nasdaq,0001734520
198,AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Major Banks,nasdaq,0001823608
199,AMAOU,American Acquisition Opportunity Inc. Units,Finance,Business Services,nasdaq,0001843656
200,AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,nasdaq,0000006951
201,AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors,nasdaq,0001280263
202,AMCX,AMC Networks Inc. Class A Common Stock,Consumer Services,Television Services,nasdaq,0001514991
203,AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,nasdaq,0000002488
204,AMED,Amedisys Inc Common Stock,Health Care,Medical/Nursing Services,nasdaq,0000896262
205,AMEH,Apollo Medical Holdings Inc. Common Stock,Consumer Services,Professional Services,nasdaq,0001083446
206,AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0000318154
207,AMHC,Amplitude Healthcare Acquisition Corporation Class A Common Stock,Finance,Business Services,nasdaq,0001788028
208,AMHCU,Amplitude Healthcare Acquisition Corporation Unit,Finance,Business Services,nasdaq,0001788028
209,AMHCW,Amplitude Healthcare Acquisition Corporation Warrants,Finance,Business Services,nasdaq,0001788028
210,AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors,nasdaq,0001047127
211,AMNB,American National Bankshares Inc. Common Stock,Finance,Major Banks,nasdaq,0000741516
212,AMOT,Allied Motion Technologies Inc.,Capital Goods,Electrical Products,nasdaq,0000046129
213,AMPG,Amplitech Group Inc. Common Stock,Capital Goods,Telecommunications Equipment,nasdaq,0001518461
214,AMPGW,Amplitech Group Inc. Warrants,Capital Goods,Telecommunications Equipment,nasdaq,0001518461
215,AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001297184
216,AMRB,American River Bankshares Common Stock,Finance,Major Banks,nasdaq,0001108236
217,AMRK,A-Mark Precious Metals Inc. Common Stock,Basic Industries,Other Specialty Stores,nasdaq,0001591588
218,AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals,nasdaq,0000897448
219,AMRS,Amyris Inc. Common Stock,Basic Industries,Major Chemicals,nasdaq,0001365916
220,AMSC,American Superconductor Corporation Common Stock,Consumer Durables,Metal Fabrications,nasdaq,0000880807
221,AMSF,AMERISAFE Inc. Common Stock,Finance,Property-Casualty Insurers,nasdaq,0001018979
222,AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001807166
223,AMSWA,American Software Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0000713425
224,AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks,nasdaq,0001734342
225,AMTBB,Amerant Bancorp Inc. Class B Common Stock,Finance,Major Banks,nasdaq,0001734342
226,AMTI,Applied Molecular Transport Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001801777
227,AMTX,Aemetis Inc. Common Stock,Basic Industries,Major Chemicals,nasdaq,0000738214
228,AMWD,American Woodmark Corporation Common Stock,Basic Industries,Forest Products,nasdaq,0000794619
229,AMYT,Amryt Pharma plc American Depositary Shares,Health Care,Major Pharmaceuticals,nasdaq,0001783010
230,AMZN,Amazon.com Inc. Common Stock,Consumer Services,Catalog/Specialty Distribution,nasdaq,0001018724
231,ANAB,AnaptysBio Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001370053
232,ANAT,American National Group Inc. Common Stock,Finance,Life Insurance,nasdaq,0001801075
233,ANDA,Andina Acquisition Corp. III Ordinary Shares,Finance,Business Services,nasdaq,0001691936
234,ANDAR,Andina Acquisition Corp. III Right,Finance,Business Services,nasdaq,0001691936
235,ANDAW,Andina Acquisition Corp. III Warrant,Finance,Business Services,nasdaq,0001691936
236,ANDE,Andersons Inc. (The) Common Stock,Consumer Services,Farming/Seeds/Milling,nasdaq,0000821026
237,ANGI,Angi Inc. Class A Common Stock,Consumer Services,Advertising,nasdaq,0001705110
238,ANGN,Angion Biomedica Corp. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001601485
239,ANGO,AngioDynamics Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001275187
240,ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0000898437
241,ANIP,ANI Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,nasdaq,0001023024
242,ANIX,Anixa Biosciences Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0000715446
243,ANNX,Annexon Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001528115
244,ANPC,AnPac Bio-Medical Science Co. Ltd. American Depositary Shares,Health Care,Medical Specialities,nasdaq,0001786511
245,ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001013462
246,ANTE,AirNet Technology Inc. American Depositary Shares,Technology,Advertising,nasdaq,0001413745
247,ANY,Sphere 3D Corp. Common Shares,Technology,EDP Services,nasdaq,0001591956
248,ANZU,Anzu Special Acquisition Corp I Units,Finance,Business Services,nasdaq,0001840877
249,AOSL,Alpha and Omega Semiconductor Limited Common Shares,Technology,Semiconductors,nasdaq,0001387467
250,AOUT,American Outdoor Brands Inc. Common Stock ,Capital Goods,Ordnance And Accessories,nasdaq,0001808997
251,APA,APA Corporation Common Stock,Energy,Oil & Gas Production,nasdaq,0001841666
252,APDN,Applied DNA Sciences Inc. Common Stock,Consumer Services,Other Consumer Services,nasdaq,0000744452
253,APEI,American Public Education Inc. Common Stock,Consumer Services,Other Consumer Services,nasdaq,0001201792
254,APEN,Apollo Endosurgery Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0001251769
255,APHA,Aphria Inc. Common Shares,Consumer Durables,Specialty Chemicals,nasdaq,0001733418
256,API,Agora Inc. American Depositary Shares,Technology,Computer Software: Prepackaged Software,nasdaq,0001802883
257,APLS,Apellis Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001492422
